family,genus,species,region,location,date,tank_id,fish_per_tank,mean_weight_kg,sampling_interval_h,mean_T,mean_S,mean_ph,exc_rate_umol_h,method,trophic_level,level_troph,aspect_ratio,level_ar,elongation,level_elon,ril
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-15,SE1,1,0.183,59.26,23,35.1,8.09,1.57014,double,3.64,species,1.84,species,2.61,species,1.45
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar8,2,0.0308,74.47,23,35.1,8.09,0.858396,double,3.83,species,1.06,species,3.5,species,0.68
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-15,SE2,1,0.197,71.36,23,35.1,8.09,3.16382,double,3.64,species,1.84,species,2.61,species,1.45
Haemulidae,Plectorhinchus,Plectorhinchus picus,Australia,Moreton Bay,May-15,SL1,1,0.188,71.37,23,35.1,8.09,3.29752,double,3.85,species,1.98,species,2.84,species,1.42
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-15,BF1,1,0.001,50.78,23,35.1,8.09,0.05107,double,3.6,family,1.53,species,2.7,species,1.29
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-15,BF2,1,0.0032,71.67,23,35.1,8.09,0.14294400000000002,double,3.6,family,1.53,species,2.7,species,1.29
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar9,2,0.0062,74.57,23,35.1,8.09,0.145142,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar10,6,0.0052,73.17,23,35.1,8.09,0.329212,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar11,1,0.51,77.43,23,35.1,8.09,11.8422,double,3.83,species,1.06,species,3.5,species,0.68
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp6,3,0.0973,72.83,23,35.1,8.09,1.376795,double,3.8,species,2.21,species,2.77,species,1.02
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar12,2,0.0284,74.56,23,35.1,8.09,0.455536,double,3.83,species,1.06,species,3.5,species,0.68
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-14,BF3,1,0.0032,112.78,23,35.1,8.09,0.135904,double,3.6,family,1.53,species,2.7,species,1.29
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-14,BF4,2,0.0033,96.92,23,35.1,8.09,0.105864,double,3.6,family,1.53,species,2.7,species,1.29
Terapontidae,Helotes,Helotes sexlineatus,Australia,Moreton Bay,May-14,Tru1,1,0.0145,73.97,23,35.1,8.09,0.462695,double,2,species,1.49,species,3.88,species,2
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp2,1,0.064,69.9,23,35.1,8.09,1.42784,double,3.47,species,3.3,species,2.28,species,1.72
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp7,2,0.1235,168.84,23,35.1,8.09,4.62631,double,3.8,species,2.21,species,2.77,species,1.02
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp8,2,0.1635,49.88,23,35.1,8.09,7.9461,double,3.8,species,2.21,species,2.77,species,1.02
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-14,SE3,1,0.22,96.78,23,35.1,8.09,5.8608,double,3.64,species,1.84,species,2.61,species,1.45
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp3,2,0.095,93.06,23,35.1,8.09,2.451,double,3.47,species,3.3,species,2.28,species,1.72
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp9,3,0.1037,73.79,23,35.1,8.09,3.3329180000000003,double,3.8,species,2.21,species,2.77,species,1.02
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE1,5,0.0476,73.85,23,35.1,8.09,1.497972,double,3.61,species,1.85,species,2.96,species,1.33
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE2,5,0.0766,49.34,23,35.1,8.09,1.58945,double,3.61,species,1.85,species,2.96,species,1.33
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE3,6,0.0843,73.94,23,35.1,8.09,2.176626,double,3.61,species,1.85,species,2.96,species,1.33
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp10,3,0.1513,91.67,23,35.1,8.09,4.110821,double,3.8,species,2.21,species,2.77,species,1.02
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp4,3,0.1313,70.11,23,35.1,8.09,3.633071,double,3.47,species,3.3,species,2.28,species,1.72
Terapontidae,Helotes,Helotes sexlineatus,Australia,Moreton Bay,May-14,Tru2,11,0.0011,99.82,23,35.1,8.09,0.065384,double,2,species,1.49,species,3.88,species,2
Terapontidae,Helotes,Helotes sexlineatus,Australia,Moreton Bay,May-14,Tru3,7,0.0097,49.96,23,35.1,8.09,0.349006,double,2,species,1.49,species,3.88,species,2
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB1,2,0.0176,71.43,23,35.1,8.09,0.301136,double,3.1,species,1.5,species,2.16,species,2.04
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW1,3,0.0897,75.3,23,35.1,8.09,2.44881,double,3.25,species,2.8,species,2.18,species,1.92
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW2,2,0.085,66.14,23,35.1,8.09,3.1314000000000006,double,3.25,species,2.8,species,2.18,species,1.92
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB2,1,0.202,93.09,23,35.1,8.09,2.7876000000000003,double,3.1,species,1.5,species,2.16,species,2.04
Terapontidae,Helotes,Helotes sexlineatus,Australia,Moreton Bay,May-14,Tru4,10,0.005,73.86,23,35.1,8.09,0.3281,double,2,species,1.49,species,3.88,species,2
Sillaginidae,Sillago,Sillago maculata,Australia,Moreton Bay,May-14,Whit1,4,0.0103,18.3,23,35.1,8.09,0.37492,double,3.52,species,0.96,species,4.87,species,0.94
Sygnathidae,Hippocampus,Hippocampus whitei,Australia,Moreton Bay,May-14,SH1,1,0.0025,46.87,23,35.1,8.09,0.179225,double,3.47,genus,0.87,family,8.57,genus,0.54
Diodontidae,Tragulichthys,Tragulichthys jaculiferus,Australia,Moreton Bay,May-14,PF1,1,0.91,71.57,23,35.1,8.09,2.3296,double,3.5,species,1.6,species,2.1,species,1.97
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,SP5,1,0.11,75.7,23,35.1,8.09,1.5268000000000002,double,3.47,species,3.3,species,2.28,species,1.72
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB3,1,0.0814,74.65,23,35.1,8.09,1.04192,double,3.1,species,1.5,species,2.16,species,2.04
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp11,1,0.0171,73.53,23,35.1,8.09,0.14671800000000002,double,3.8,species,2.21,species,2.77,species,1.02
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB4,2,0.0805,94.96,23,35.1,8.09,1.190595,double,3.1,species,1.5,species,2.16,species,2.04
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW1,2,0.042,44.98,25,36.5,8.18,1.4784000000000002,double,3.46,species,1.41,species,3.09,species,0.88
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW2,1,0.052,26,25,36.5,8.18,3.19228,double,3.46,species,1.41,species,3.09,species,0.88
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW3,2,0.037,25.75,25,36.5,8.18,1.98061,double,3.46,species,1.41,species,3.09,species,0.88
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW4,1,0.06,36,25,36.5,8.18,2.472,double,3.46,species,1.41,species,3.09,species,0.88
Labridae,Thalassoma,Thalassoma lunare,Australia,Heron Island,Apr-14,MW1,1,0.0222,26.25,25,36.5,8.18,1.3333320000000002,double,3.5,species,1.08,species,3.66,species,0.78
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba1,1,0.691,22.68,27,36.6,NA,27.88185,double,4.5,species,2.45,species,6.65,species,0.33
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch1,3,0.247,22.92,27,36.6,NA,10.633349999999998,double,3.76,species,1.78,species,2.8,species,0.98
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch2,4,0.1193,22.67,27,36.6,NA,7.20572,double,3.76,species,1.78,species,2.8,species,0.98
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS1,10,0.0452,22.68,27,36.6,NA,2.0299319999999996,double,3.88,species,1.74,species,2.6,species,0.98
Haemulidae,Haemulon,Haemulon sp.,Bahamas,Cape Eleuthera,Nov-09,Grunt1,1,0.101,22.67,27,36.6,NA,5.62469,double,3.67,genus,2.29,genus,2.99,genus,1.46
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba2,1,0.491,22.68,27,36.6,NA,5.07203,double,4.5,species,2.45,species,6.65,species,0.33
Gerreidae,Gerres,Gerres cinereus,Bahamas,Cape Eleuthera,Nov-09,YfM1,2,0.1725,22.68,27,36.6,NA,10.7985,double,3.2,species,2.46,species,2.49,species,1.71
Serranidae,Epinephelus,Epinephelus guttatus,Bahamas,Cape Eleuthera,Nov-09,RH1,1,0.205,45.75,27,36.6,NA,4.9117999999999995,double,4.15,species,0.98,species,3,species,1
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch3,3,0.2897,45.77,27,36.6,NA,9.209563,double,3.76,species,1.78,species,2.8,species,0.98
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS2,4,0.076,70.12,27,36.6,NA,4.3054,double,3.88,species,1.74,species,2.6,species,0.98
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch4,13,0.0099,72.9,27,36.6,NA,0.7305210000000001,double,3.76,species,1.78,species,2.8,species,0.98
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch5,3,0.1037,72.08,27,36.6,NA,5.344698,double,3.76,species,1.78,species,2.8,species,0.98
Serranidae,Cephalopholis,Cephalopholis cruentata,Bahamas,Cape Eleuthera,Nov-09,GG1,3,0.0947,45.67,27,36.6,NA,3.054075,double,4.16,species,2.43,species,2.78,species,0.99
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS3,6,0.0233,70.07,27,36.6,NA,0.7877730000000001,double,3.88,species,1.74,species,2.6,species,0.98
Scorpaenidae,Pterois,Pterois volitans,Bahamas,Cape Eleuthera,Nov-09,RLf1,3,0.0313,71.05,27,36.6,NA,1.428845,double,3.44,species,1.1,species,2.87,species,1.14
Scorpaenidae,Pterois,Pterois volitans,Bahamas,Cape Eleuthera,Nov-09,RLf2,1,0.057,72.27,27,36.6,NA,0.95475,double,3.44,species,1.1,species,2.87,species,1.14
Mugilidae,Mugil,Mugil sp.,Bahamas,Cape Eleuthera,Nov-09,Mullet1,9,0.003,24,27,36.6,NA,0.1977,double,2.24,genus,2.18,genus,4.2,genus,2.01
Serranidae,Cephalopholis,Cephalopholis cruentata,Bahamas,Cape Eleuthera,Nov-09,GG2,4,0.1415,47.17,27,36.6,NA,3.5459899999999993,double,4.16,species,2.43,species,2.78,species,0.99
Serranidae,Cephalopholis,Cephalopholis cruentata,Bahamas,Cape Eleuthera,Nov-09,GG3,4,0.0758,47.13,27,36.6,NA,3.3844700000000003,double,4.16,species,2.43,species,2.78,species,0.99
Scorpaenidae,Pterois,Pterois volitans,Bahamas,Cape Eleuthera,Nov-09,RLf3,2,0.311,22.78,27,36.6,NA,1.1818,double,3.44,species,1.1,species,2.87,species,1.14
Lutjanidae,Ocyurus,Ocyurus chrysurus,Bahamas,Cape Eleuthera,Nov-09,YtS4,5,0.6948,48,27,36.6,NA,5.579243999999999,double,3.88,species,1.74,species,2.6,species,0.98
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba3,1,1.259,48,27,36.6,NA,16.039659999999998,double,4.5,species,2.45,species,6.65,species,0.33
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba4,1,11.364,20,27,36.6,NA,297.05496000000005,double,4.5,species,2.45,species,6.65,species,0.33
Albulidae,Albula,Albula vulpes,Bahamas,Cape Eleuthera,Nov-09,Bon1,5,1.0058,25.73,27,36.6,NA,12.461862000000002,double,3.66,species,2.41,species,4.28,species,0.88
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,Palau,Koror,Nov-19,P02,1,0.02,48,30.23,33.83,8.04,0.4525427083333333,single,2,species,1.82,species,1.99,species,4.48
Chaetodontidae,Chaetodon,Chaetodon lunulatus,Palau,Koror,Nov-19,P07,1,0.0236,48,30.23,33.83,8.04,0.9050729166666668,single,3.34,species,2.47,species,1.63,species,7.56
Blenniidae,Salarias,Salarias fasciatus,Palau,Koror,Nov-19,P09,1,0.0305,48,30.23,33.83,8.04,0.6141145833333334,single,2,species,0.9,species,3.3,species,2.88
Gobiidae,Valenciennea,Valenciennea longipinnis,Palau,Koror,Dec-19,P100,1,0.0059,56,30.23,33.83,8.04,0.185484375,single,3.38,genus,0.76,species,4.97,species,1.52
Lutjanidae,Lutjanus,Lutjanus gibbus,Palau,Koror,Dec-19,P104,1,0.041,24,30.23,33.83,8.04,1.150625,single,3.63,species,2.16,species,2.39,species,1.2
Pomacentridae,Dischistodus,Dischistodus perspicillatus,Palau,Koror,Nov-19,P11,1,0.0438,60,30.23,33.83,8.04,1.29975,single,2,species,1.6,species,2.18,species,2.77
Apogonidae,Sphaeramia,Sphaeramia orbicularis,Palau,Koror,Nov-19,P12,3,0.0077,60,30.23,33.83,8.04,0.30036111111111113,single,3.64,species,1.63,species,1.83,species,1.86
Holocentridae,Myripristis,Myripristis adusta,Palau,Koror,Nov-19,P13,3,0.0036,60,30.23,33.83,8.04,0.0987709722222222,single,3.4,species,2.3,species,2.33,species,1.22
Apogonidae,Sphaeramia,Sphaeramia orbicularis,Palau,Koror,Nov-19,P14,3,0.00709999999999999,60,30.23,33.83,8.04,0.4390972222222222,single,3.64,species,1.63,species,1.83,species,1.86
Apogonidae,Sphaeramia,Sphaeramia orbicularis,Palau,Koror,Nov-19,P15,3,0.0127,60,30.23,33.83,8.04,0.4014166666666667,single,3.64,species,1.63,species,1.83,species,1.86
Pomacentridae,Amblyglyphidodon,Amblyglyphidodon curacao,Palau,Koror,Dec-19,P16,3,0.008,64,30.23,33.83,8.04,0.07421354166666667,single,3.1,species,1.41,species,1.71,species,2.26
Pomacentridae,Amblyglyphidodon,Amblyglyphidodon curacao,Palau,Koror,Dec-19,P17,5,0.0042,56,30.23,33.83,8.04,0.0550625,single,3.1,species,1.41,species,1.71,species,2.26
Pomacentridae,Amblyglyphidodon,Amblyglyphidodon curacao,Palau,Koror,Dec-19,P18,3,0.0134,48,30.23,33.83,8.04,0.03534722222222222,single,3.1,species,1.41,species,1.71,species,2.26
Serranidae,Cephalopholis,Cephalopholis urodeta,Palau,Koror,Dec-19,P19,1,0.0174,64,30.23,33.83,8.04,1.33378828125,single,4.02,species,1.5,species,3.03,species,0.85
Pomacentridae,Chromis,Chromis atripectoralis,Palau,Koror,Dec-19,P20,6,0.0047,56,30.23,33.83,8.04,0.13267559523809525,single,3.08,genus,2.26,species,2.07,species,1.38
Pomacentridae,Chromis,Chromis atripectoralis,Palau,Koror,Dec-19,P21,5,0.0059,64,30.23,33.83,8.04,0.07385312499999999,single,3.08,genus,2.26,species,2.07,species,1.38
Pomacentridae,Pomacentrus,Pomacentrus bankanensis,Palau,Koror,Dec-19,P22,1,0.0056,56,30.23,33.83,8.04,0.13216071428571427,single,2.7,genus,1.65,species,2.05,species,2.27
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,Palau,Koror,Dec-19,P23,3,0.003,56,30.23,33.83,8.04,0.02615178571428571,single,2,species,1.82,species,1.99,species,4.48
Pomacentridae,Dischistodus,Dischistodus perspicillatus,Palau,Koror,Dec-19,P24,1,0.0237,56,30.23,33.83,8.04,0.30589285714285713,single,2,species,1.6,species,2.18,species,2.77
Apogonidae,Sphaeramia,Sphaeramia nematoptera,Palau,Koror,Dec-19,P25,3,0.0085,64,30.23,33.83,8.04,0.35979479166666667,single,3.22,species,1.18,species,1.91,species,2.09
Labridae,Scarus,Scarus globiceps,Palau,Koror,Dec-19,P26,1,0.1772,48,30.23,33.83,8.04,10.116538020833334,single,2,species,1.53,species,2.76,species,2.51
Pomacentridae,Chromis,Chromis atripectoralis,Palau,Koror,Dec-19,P27,5,0.0031,56,30.23,33.83,8.04,0.05129464285714286,single,3.08,genus,2.26,species,2.07,species,1.38
Nemipteridae,Scolopsis,Scolopsis margaritifera,Palau,Koror,Dec-19,P28,1,0.044,56,30.23,33.83,8.04,0.44424107142857144,single,3.6,species,2.63,species,2.47,species,1.54
Gobiidae,Cryptocentrus,Cryptocentrus cinctus,Palau,Koror,Dec-19,P34,1,0.0016,48,30.23,33.83,8.04,0.03279166666666667,single,2.97,genus,0.77,species,4.58,species,1.54
